,Date,Time Start,Time End,Strategy,Martingale Max,Starting Balance,Ending Balance,Profit,Profit (%),Trades,Martingales
0,31/12/2022,13:56:29,14:02:16,R,0,800000,800051,51,0.01,"[1, -1, 1]","[0, 0, 0]"
1,01/01/2023,03:14:30,13:08:19,R,0,800116,799956,-160,-0.02,"[-1, -1]","[0, 0]"
